Time,Cooling_load
00:00:00,3907.7741935483873
01:00:00,4143.129032258064
02:00:00,3667.483870967742
03:00:00,3440.8709677419356
04:00:00,3946.548387096774
05:00:00,4392.0
06:00:00,4512.580645161291
07:00:00,4655.903225806452
08:00:00,5901.967741935484
09:00:00,8385.870967741936
10:00:00,10062.387096774193
11:00:00,11145.41935483871
12:00:00,11515.709677419354
13:00:00,11517.41935483871
14:00:00,11831.870967741936
15:00:00,12078.516129032258
16:00:00,11422.09677419355
17:00:00,10968.129032258064
18:00:00,9886.548387096775
19:00:00,8986.064516129032
20:00:00,6888.612903225807
21:00:00,7304.8387096774195
22:00:00,6431.5161290322585
23:00:00,4353.129032258064
