Time,Cooling_load
00:00:00,9211.645161290322
01:00:00,8950.935483870968
02:00:00,8584.741935483871
03:00:00,8605.612903225807
04:00:00,9543.741935483871
05:00:00,8733.032258064517
06:00:00,8879.387096774193
07:00:00,10394.322580645161
08:00:00,14547.161290322581
09:00:00,17861.677419354837
10:00:00,19201.935483870966
11:00:00,19327.354838709678
12:00:00,19689.8064516129
13:00:00,19784.677419354837
14:00:00,19818.064516129034
15:00:00,19601.451612903227
16:00:00,19658.483870967742
17:00:00,19372.677419354837
18:00:00,18539.774193548386
19:00:00,17740.8064516129
20:00:00,16533.612903225807
21:00:00,14956.129032258064
22:00:00,11207.387096774193
23:00:00,9048.129032258064
