Time,Cooling_load
00:00:00,2536.5666666666666
01:00:00,2459.633333333333
02:00:00,2419.133333333333
03:00:00,2269.1666666666665
04:00:00,2242.9
05:00:00,2235.5333333333333
06:00:00,2354.0333333333333
07:00:00,2414.2
08:00:00,2644.0
09:00:00,3598.6666666666665
10:00:00,5825.4
11:00:00,7174.172413793103
12:00:00,7617.310344827586
13:00:00,7843.793103448276
14:00:00,8535.724137931034
15:00:00,8592.724137931034
16:00:00,7845.366666666667
17:00:00,6730.466666666666
18:00:00,5901.633333333333
19:00:00,4526.833333333333
20:00:00,4443.3
21:00:00,4162.266666666666
22:00:00,3256.133333333333
23:00:00,2793.3
