Time,Cooling_load
00:00:00,11117.566666666668
01:00:00,11444.0
02:00:00,10680.933333333332
03:00:00,10700.8
04:00:00,11791.766666666666
05:00:00,10328.266666666666
06:00:00,10633.5
07:00:00,12070.366666666667
08:00:00,17123.033333333333
09:00:00,21112.1
10:00:00,22982.366666666665
11:00:00,23671.466666666667
12:00:00,23768.321428571428
13:00:00,23888.344827586207
14:00:00,24084.51724137931
15:00:00,23818.51724137931
16:00:00,23623.0
17:00:00,22751.206896551725
18:00:00,22812.655172413793
19:00:00,21267.433333333334
20:00:00,19813.766666666666
21:00:00,17914.066666666666
22:00:00,12419.4
23:00:00,11115.1
