Time,Cooling_load
00:00:00,5114.586206896552
01:00:00,4853.137931034483
02:00:00,4604.172413793103
03:00:00,4580.068965517241
04:00:00,4794.310344827586
05:00:00,4489.862068965517
06:00:00,4384.310344827586
07:00:00,5195.827586206897
08:00:00,7280.413793103448
09:00:00,9699.166666666666
10:00:00,12363.3
11:00:00,13351.866666666667
12:00:00,14100.933333333332
13:00:00,14348.733333333334
14:00:00,14728.8
15:00:00,14811.655172413793
16:00:00,14464.310344827587
17:00:00,13748.689655172413
18:00:00,12985.586206896553
19:00:00,11912.793103448275
20:00:00,11213.034482758621
21:00:00,8649.931034482759
22:00:00,6223.586206896552
23:00:00,5715.172413793103
