Time,Cooling_load
00:00:00,2791.214285714286
01:00:00,2457.3928571428573
02:00:00,2346.6071428571427
03:00:00,2413.714285714286
04:00:00,2613.535714285714
05:00:00,2546.285714285714
06:00:00,2388.3214285714284
07:00:00,2556.035714285714
08:00:00,3147.535714285714
09:00:00,4707.285714285715
10:00:00,6155.678571428572
11:00:00,7203.714285714285
12:00:00,7703.607142857143
13:00:00,7871.535714285715
14:00:00,8144.035714285715
15:00:00,8690.57142857143
16:00:00,8154.25
17:00:00,7486.107142857143
18:00:00,6428.571428571428
19:00:00,5466.964285714285
20:00:00,5183.714285714285
21:00:00,3928.285714285714
22:00:00,3805.785714285714
23:00:00,3526.6071428571427
