Time,Cooling_load
00:00:00,8316.354838709678
01:00:00,7984.064516129032
02:00:00,7195.193548387097
03:00:00,6927.0
04:00:00,7328.419354838709
05:00:00,6956.451612903225
06:00:00,6882.1612903225805
07:00:00,8096.709677419355
08:00:00,11226.193548387097
09:00:00,14867.709677419354
10:00:00,17463.032258064515
11:00:00,19352.354838709678
12:00:00,19714.290322580644
13:00:00,20045.74193548387
14:00:00,20506.58064516129
15:00:00,20645.322580645163
16:00:00,20583.774193548386
17:00:00,20123.451612903227
18:00:00,19240.09677419355
19:00:00,17702.935483870966
20:00:00,16674.90322580645
21:00:00,13128.967741935483
22:00:00,10057.774193548386
23:00:00,9061.225806451614
