Time,Cooling_load
00:00:00,9512.612903225807
01:00:00,9262.129032258064
02:00:00,8795.612903225807
03:00:00,9090.967741935483
04:00:00,9747.225806451614
05:00:00,8676.09677419355
06:00:00,9382.870967741936
07:00:00,11143.322580645161
08:00:00,15408.193548387097
09:00:00,18787.83870967742
10:00:00,20749.870967741936
11:00:00,21397.533333333333
12:00:00,21727.451612903227
13:00:00,21853.612903225807
14:00:00,21803.032258064515
15:00:00,21658.677419354837
16:00:00,21641.774193548386
17:00:00,21291.967741935485
18:00:00,20257.935483870966
19:00:00,19124.483870967742
20:00:00,17909.0
21:00:00,13519.322580645161
22:00:00,9804.354838709678
23:00:00,8755.806451612903
