Time,Cooling_load
00:00:00,2904.7096774193546
01:00:00,2694.6129032258063
02:00:00,2727.6774193548385
03:00:00,2556.3225806451615
04:00:00,2582.0
05:00:00,2628.328129032258
06:00:00,2559.3613870967743
07:00:00,2703.5529032258064
08:00:00,3407.743667741935
09:00:00,5076.387096774193
10:00:00,7285.258064516129
11:00:00,8739.09677419355
12:00:00,9184.193548387097
13:00:00,9756.90322580645
14:00:00,10055.548387096775
15:00:00,10020.258064516129
16:00:00,9661.774193548386
17:00:00,8566.322580645161
18:00:00,7365.709677419355
19:00:00,6094.4838709677415
20:00:00,6126.1612903225805
21:00:00,5229.322580645161
22:00:00,4038.7419354838707
23:00:00,3535.451612903226
