Time,Cooling_load
00:00:00,11730.967741935483
01:00:00,10693.354838709678
02:00:00,10600.41935483871
03:00:00,10946.774193548386
04:00:00,10938.483870967742
05:00:00,10677.225806451614
06:00:00,11305.967741935483
07:00:00,13161.225806451614
08:00:00,17956.451612903227
09:00:00,21462.0
10:00:00,23105.870967741936
11:00:00,23639.09677419355
12:00:00,23784.677419354837
13:00:00,23802.935483870966
14:00:00,23829.290322580644
15:00:00,23745.03125
16:00:00,23877.58064516129
17:00:00,23772.290322580644
18:00:00,23212.25806451613
19:00:00,22359.25806451613
20:00:00,20588.870967741936
21:00:00,15884.677419354839
22:00:00,12287.032258064517
23:00:00,10682.677419354839
