kW,CH01+CH03+CH04+CH05+CH06+CH07,CH01+CH02+CH04+CH05+CH06+CH07,CH01+CH02+CH03+CH05+CH06+CH07,CH01+CH02+CH03+CH04+CH06+CH07,CH01+CH02+CH03+CH04+CH05+CH07,CH01+CH02+CH03+CH04+CH05+CH06,CH02+CH03+CH04+CH05+CH06+CH07
16800,7.945551909971323,8.06208973872308,7.437616047647944,7.863449440218761,7.900488124113947,7.306549801499965,7.486760652757077
16900,7.992846861816391,8.110078368120242,7.365217642143368,7.779959994345412,7.815999013270007,7.350041169366035,7.531324704261584
17000,7.943940498215654,8.059040385971002,7.347813783560375,7.771776400911119,7.809911571618172,7.312104179136248,7.490417334960902
17100,7.990669559969864,8.10644650588848,7.391036217581319,7.817492732681185,7.855852227921808,7.355116556660579,7.534478613401848
17200,8.037398621724074,8.153852625805955,7.434258651602262,7.86320906445125,7.901792884225445,7.39812893418491,7.578539891842794
17300,7.982140172206234,8.076032882345876,7.4774810856232055,7.908925396221315,7.947733540529081,7.341687449510903,7.528206259911064
17400,8.0282797107739,8.122715153342094,7.520703519644149,7.954641727991381,7.993674196832718,7.384124949219059,7.571721903031937
17500,8.074419249341567,8.169397424338314,7.442310317120102,7.864429405621709,7.9023603979416395,7.426562448927214,7.615237546152811
17600,8.020750682458765,8.11392449367372,7.484837804646503,7.909369002225262,7.947516743072734,7.384482302972554,7.569912116919472
17700,8.066323129518189,8.160026337387775,7.463755635917195,7.897730506940712,7.938081572538458,7.426439588784898,7.612922981220151
17800,8.006245821575531,8.076368284332398,7.505923746854581,7.942350453307609,7.9829294910273765,7.365318182171572,7.558425863876104
17900,8.051224730685504,8.121741139862356,7.548091857791966,7.986970399674505,8.027777409516293,7.406696374206244,7.600888930527094
18000,8.09620363979548,8.167113995392313,7.464353479338238,7.890752543763638,7.930357459091119,7.448074566240916,7.643351997178083
18100,8.141182548905455,8.21248685092227,7.505822109779005,7.934590057895658,7.974415000530514,7.489452758275587,7.6858150638290725
18200,8.18616145801543,8.257859706452228,7.547290740219773,7.9784275720276785,8.018472541969908,7.530830950310259,7.728278130480062
18300,8.127145606708087,8.19741986303117,7.588759370660541,8.022265086159699,8.062530083409303,7.48410909931516,7.677989182567464
18400,8.06157248255967,8.107126988658248,7.563979517321239,8.007162050279923,8.049745813832741,7.417665749690862,7.618764031871514
18500,8.105385376486625,8.151187461422694,7.605088101654506,8.050679235335792,8.09349443238618,7.457979150504399,7.660170358131685
18600,8.14919827041358,8.19524793418714,7.515251268547039,7.947604073972283,7.989101609382618,7.498292551317936,7.701576684391856
18700,8.193011164340534,8.239308406951588,7.555655845259658,7.990333128133424,8.032053768572847,7.538605952131474,7.742983010652027
18800,8.236824058267489,8.283368879716035,7.596060421972276,8.033062182294564,8.075005927763076,7.578919352945011,7.784389336912199
18900,8.163830071662202,8.18398050005118,7.636464998684895,8.075791236455707,8.117958086953305,7.505458287956214,7.718879135644191
19000,8.101843785778886,8.121584304768808,7.676869575397513,8.118520290616848,8.160910246143533,7.456177179251202,7.665625758999978
19100,8.144485068861933,8.164329485320224,7.648374345062593,8.09994473021037,8.144777622510585,7.4954202170367346,7.705971157731557
19200,8.187126351944979,8.207074665871637,7.552371336191263,7.9899261858502,8.03331775162411,7.534663254822267,7.746316556463135
19300,8.229767635028026,8.249819846423053,7.59170660356726,8.031540384734836,8.075157948247153,7.5739062926078,7.786661955194715
19400,8.15147710590042,8.144142287254075,7.631041870943256,8.073154583619473,8.116998144870195,7.495376133271896,7.716769162586652
19500,8.193495029126712,8.186122402136828,7.670377138319252,8.11476878250411,8.158838341493237,7.534012092721751,7.756546323218542
19600,8.235512952353004,8.22810251701958,7.709712405695249,8.156382981388745,8.200678538116279,7.572648052171606,7.796323483850432
19700,8.168373169323234,8.161119987717223,7.605945791909156,8.038004615616625,8.080800821210069,7.518892972345174,7.7382061379064275
19800,8.209836992517767,8.202546992731017,7.575599900716267,8.017589929935005,8.0628760738414,7.557059941747942,7.777486372108998
19900,8.251300815712302,8.24397399774481,7.61386050627544,8.058082808369019,8.103597670173931,7.595226911150709,7.816766606311569
20000,8.166945133905516,8.131126322711314,7.652121111834614,8.098575686803034,8.144319266506464,7.510906174514138,7.741880390130092
20100,8.207779859575044,8.17178195432487,7.6903817173937865,8.13906856523705,8.185040862838996,7.548460705386708,7.780589792080742
20200,8.248614585244571,8.212437585938426,7.728642322952959,8.179561443671064,8.225762459171529,7.5860152362592785,7.819299194031393
20300,8.2894493109141,8.253093217551983,7.618368350205959,8.05386738450995,8.098433642717884,7.623569767131849,7.858008595982043
20400,8.2171635139173,8.18161172617654,7.655897258335052,8.093541608078965,8.138327404504672,7.565342983091436,7.7949943102475805
20500,8.127204082589381,8.062233697283531,7.693426166464145,8.133215831647979,8.17822116629146,7.475711366448832,7.715635740149759
20600,8.166848980553233,8.101561666538572,7.659173781096913,8.109183958547574,8.156826540818068,7.512178251163216,7.753272987662685
20700,8.206493878517083,8.140889635793615,7.696354236344956,8.148548929220134,8.196422786161845,7.5486451358776,7.79091023517561
20800,8.246138776480935,8.180217605048655,7.5801932700442975,8.016224181036964,8.062327382243058,7.5851120205919855,7.828547482688536
20900,8.285783674444785,8.219545574303698,7.6166365069195106,8.054763720368873,8.101088571580766,7.62157890530637,7.866184730201462
21000,8.186765045694003,8.089414059215555,7.6530797437947236,8.09330325970078,8.139849760918473,7.5235431954129295,7.7795416810117555
21100,8.112527748115602,8.017371782114472,7.689522980669937,8.13184279903269,8.17861095025618,7.463642440467534,7.714278732679316
21200,8.150975746921837,8.05536880477852,7.72596621754515,8.170382338364599,8.217372139593888,7.499015153455532,7.750839295393435
21300,8.189423745728071,8.093365827442572,7.6881581447488525,8.143053832918895,8.192826409275137,7.534387866443529,7.787399858107555
21400,8.227871744534307,8.13136285010662,7.565244565867794,8.003119740311986,8.050965357959631,7.569760579431527,7.823960420821675
21500,8.122581231571388,7.994102580640687,7.600596175988672,8.040517496107835,8.088586691408041,7.465861485991466,7.732520616825907
21600,8.160360679160092,8.031284453108784,7.63594778610955,8.077915251903686,8.12620802485645,7.500586423135613,7.76848582899719
21700,8.198140126748795,8.06846632557688,7.6712993962304274,8.115313007699537,8.16382935830486,7.535311360279759,7.804451041168473
21800,8.11908586657679,7.9924558871485365,7.706651006351304,8.152710763495387,8.20145069175327,7.4712177908025454,7.734462057046131
