kW,CH01+CH02+CH03+CH04,CH01+CH02+CH03+CH05,CH01+CH02+CH03+CH06,CH01+CH02+CH03+CH07,CH01+CH02+CH04+CH05,CH01+CH02+CH04+CH06,CH01+CH02+CH04+CH07,CH01+CH02+CH05+CH06,CH01+CH02+CH05+CH07,CH01+CH02+CH06+CH07,CH01+CH03+CH04+CH05,CH01+CH03+CH04+CH06,CH01+CH03+CH04+CH07,CH01+CH03+CH05+CH06,CH01+CH03+CH05+CH07,CH01+CH03+CH06+CH07,CH01+CH04+CH05+CH06,CH01+CH04+CH05+CH07,CH01+CH04+CH06+CH07,CH01+CH05+CH06+CH07,CH02+CH03+CH04+CH05,CH02+CH03+CH04+CH06,CH02+CH03+CH04+CH07,CH02+CH03+CH05+CH06,CH02+CH03+CH05+CH07,CH02+CH03+CH06+CH07,CH02+CH04+CH05+CH06,CH02+CH04+CH05+CH07,CH02+CH04+CH06+CH07,CH02+CH05+CH06+CH07,CH03+CH04+CH05+CH06,CH03+CH04+CH05+CH07,CH03+CH04+CH06+CH07,CH03+CH05+CH06+CH07,CH04+CH05+CH06+CH07
13100,7.8008775135025905,7.203659412203641,7.152607138923371,7.9220564907403554,8.061675320957233,7.993443864021826,8.921630305125426,7.347466853679206,8.14897865644144,8.083708989997938,8.072323172624793,8.003912121351233,8.844379551379374,7.356310591145258,8.084480628528166,8.02023600109813,8.091275978750941,9.247188496144979,9.157525497477932,8.31956376050114,7.456324824318022,7.397918513572673,8.11736886431807,6.841257296296516,7.472710295879449,7.417787821544988,7.471625936241489,8.447713181303566,8.372821017254779,7.66677944312597,7.605533079257131,8.459405945059139,8.384307237533216,7.6764090648697305,8.577915935336799
13200,7.860426196811771,7.258649178709012,7.207207193418969,7.9825302044101285,8.030140664733576,7.958306013123091,8.989734353256154,7.3012888512585095,8.21118460038374,8.145416692211663,8.040625183080062,7.9686036690077255,8.911893899099828,7.309955471662162,8.146194221112351,8.081459176679031,7.976661950944269,9.195522670429286,9.101447054861064,8.252195227779344,7.433553673016762,7.371955280925346,8.179333512137292,6.80473655832246,7.529753885924331,7.474412156060599,7.378012884845554,8.41005418347277,8.33129494545084,7.61402390804421,7.507549924059095,8.421554944875913,8.34258116420082,7.623449340121191,8.44542003474373
13300,7.919974880120951,7.313638945214383,7.261807247914567,8.043003918079902,7.926451772641084,7.856973882188791,9.057838401386883,7.220337239797259,8.273390544326041,8.207124394425387,7.977742399479193,7.907366433955458,8.979408246820281,7.262872104471971,8.207907813696535,8.142682352259934,8.037091208148393,9.0845281640519,8.993382101155813,8.168927188769038,7.382351651673787,7.322048525932364,8.241298159956514,6.766081935133864,7.586797475969212,7.531036490576209,7.4339069218519604,8.320387562539608,8.243865451303092,7.5457722223330945,7.564425302271664,8.376921230543863,8.29936055968667,7.59224009615507,8.509400489552394
13400,7.8047604024517,7.219349916712489,7.169215752160798,7.900960936554362,7.986049154390265,7.916048873784196,8.885215759062957,7.274625489720547,8.134300356713677,8.070709313523512,8.037725425039186,7.966820316917529,8.851759273402104,7.317480165407851,8.106250994014935,8.043096051908698,7.991429076556691,9.152832887089884,9.061001515450219,8.230347693947753,7.437858055069831,7.377101522367945,8.13464383737848,6.8169547316386305,7.500710251104247,7.446606814480634,7.402009318914326,8.382946867521108,8.30584940206477,7.602507351824321,7.580135369232588,8.439905600698328,8.36176176690236,7.649324608156236,8.494527285363931
13500,7.833440045342484,7.229050675289224,7.175752582999101,7.9599233316032745,8.045646536139447,7.975123865379601,8.91322620247282,7.328913739643835,8.138965592672262,8.071468555271693,8.09770845059918,8.0262741998796,8.879807295128018,7.37208822634373,8.11109140083162,8.044053993180423,8.051066606978756,9.221137610127869,9.128620929744622,8.291768199126468,7.493364458465874,7.432154518803527,8.163238351653598,6.867827528143397,7.509011630079986,7.451521843655374,7.457248194428611,8.44550617250261,8.367833352826446,7.659242481315547,7.636703543629846,8.502889970852792,8.42416297411805,7.706409120157402,8.557919280030827
13600,7.891465527159836,7.282599198809884,7.228906305836131,8.018885726652188,8.010077389318804,7.935803295123533,8.979250100268915,7.278486295289199,8.199254226692055,8.131257211236667,8.061296675959023,7.98607413496528,8.9455836454623,7.32075205460059,8.1711735593563,8.103639578315093,7.93055643292357,9.164650269593661,9.067551066779334,8.219400327771183,7.466254472548821,7.401682655664359,8.223706783888069,6.826664054674955,7.564633938450949,7.506718301756525,7.357679875879584,8.403265703520775,8.32155809436293,7.601682761840587,7.531004609252547,8.459654474595252,8.376852017147485,7.647797316613104,8.418051510341778
13700,7.949491008977188,7.336147722330545,7.282060028673161,8.0778481217011,7.897798191817964,7.826104691542326,9.04527399806501,7.190393907771202,8.25954286071185,8.191045867201643,7.991442939348767,7.918047109862434,9.011359995796582,7.267932110954427,8.231255717880977,8.163225163449763,7.988869347871537,9.043862993783454,8.949976318604405,8.12815894825324,7.409877480987212,7.346733290503995,8.28417521612254,6.783714273976797,7.620256246821911,7.561914759857676,7.411780463202229,8.306105247219849,8.226844381613894,7.527272768085579,7.58637964314411,8.409746468264075,8.328504946444907,7.612289644905719,8.479948947917821
13800,7.825700370741483,7.234582114291471,7.182354772147345,7.926563681449428,7.955446353802037,7.883229543305409,8.861842377120658,7.242878534835225,8.111336423002813,8.04574061841789,8.049774639635984,7.975843074167999,8.874056902278973,7.320982710304459,8.121568473687235,8.055807743822962,7.935268856993547,9.109876592278225,9.015304612900787,8.187488575612752,7.463964177928724,7.40035908094563,8.169723977801299,6.833230436560569,7.527623518334162,7.471096011716347,7.374762018835869,8.366733752674008,8.286894340603776,7.582216364932919,7.600120840577598,8.47113147898133,8.389296953353265,7.667853802897731,8.45972770751389
13900,7.882408344442509,7.287006622366047,7.234400821220876,7.984002548706308,8.01309451578611,7.940354395068491,8.926058626230228,7.295363161899248,8.1701142231695,8.104043086667295,8.108106339923202,8.033639038473565,8.938361662440416,7.374033309654491,8.180420419148737,8.114183162256461,7.99277080523263,9.175890190772995,9.08063290719717,8.246818202972266,7.518050874870236,7.453984871387265,8.228924876191163,6.882746599144341,7.5821715148438305,7.5252343886128426,7.428202323320187,8.427362258128168,8.346944299593659,7.637159961780259,7.6551941800020735,8.532516489698587,8.450088960261622,7.723417960889744,8.52103008220602
14000,7.90847837201691,7.293537190934213,7.237591279477865,8.041441415963188,7.889704802586776,7.819677047917445,8.951006818559812,7.197486446067589,8.171244018508041,8.101087568596025,8.02938841070226,7.956870482825198,8.963290279756079,7.313554195449726,8.181479338548547,8.111147778667162,7.866583615231242,9.041929592261758,8.950073418894844,8.144264210077155,7.45526757245326,7.392708907596018,8.254740549185373,6.8341822144053355,7.587044928024581,7.526524328246314,7.322730612374175,8.320386566185126,8.242542532607372,7.55420167891069,7.541604481915308,8.475886737707516,8.39511997386119,7.682161682075244,8.373874489110934
14100,7.964967503245602,7.345633885155172,7.289288360045563,8.098880283220067,7.852529930041655,7.778701263352986,9.014942581549525,7.14538643788494,8.22961004721167,8.158952479800282,7.989890335958594,7.913468750712361,9.027313781754337,7.25894247358185,8.239918476681037,8.169084548514785,7.8054447403725025,8.98388237607843,8.887378212359877,8.070152120643781,7.424952055657272,7.358910769502423,8.313702981679555,6.789605845191945,7.6412381060819,7.580285216305216,7.281182021518756,8.275864894907343,8.193902896844927,7.494215825050639,7.553746985233243,8.428578910101294,8.343579657752697,7.619226829817004,8.348776553483457
14200,7.832408365198929,7.236643817597898,7.182333970258403,7.9382273147366895,7.908221631673156,7.833869357419319,8.82059168231406,7.196062937444407,8.072195559366262,8.004678833209844,8.046556224866102,7.969592642561384,8.880097292836808,7.310424335096616,8.122003353932389,8.05365438898896,7.860802504488619,9.047597853922957,8.950409263511366,8.127387242066787,7.477611290094558,7.411101626023718,8.191344232123045,6.8377590781365685,7.541987811414916,7.483016832455566,7.332821610323853,8.33455897217619,8.252015683347373,7.54736629189497,7.607319658887379,8.488356065492082,8.402753981566546,7.673263899532018,8.407987734713835
14300,7.887566170587653,7.287606098003517,7.2329137869503635,7.994130323995399,7.963913333304657,7.8890374514856525,8.882708525147258,7.246739437003875,8.129042006967433,8.061049810908505,8.10322211377361,8.025716534410408,8.942633189265235,7.361906196611381,8.179200560650221,8.110370264967756,7.916160268604736,9.111313331767485,9.013440314662855,8.184622363489792,7.5302705245318435,7.463292482545011,8.249029754884475,6.885912311081192,7.595100401636148,7.535714134092577,7.384461199128951,8.393253049445036,8.310128469849818,7.6005167587393005,7.660892332541516,8.548133220882871,8.461928305380393,7.7273009692470325,8.467198915944214
14400,7.942723975976378,7.338568378409136,7.283493603642324,8.050033333254108,7.831244516855092,7.759329443429828,8.944825367980457,7.1411221634740265,8.185888454568605,8.117420788607166,8.016713068027123,7.941367693326102,9.005169085693664,7.295021299694623,8.236397767368056,8.167086140946552,7.842384897486444,8.96662625005639,8.87247227261853,8.07330201747023,7.462028406695951,7.396706293674917,8.306715277645905,6.832831661994856,7.64821299185738,7.588411435729587,7.33509132794605,8.278345630060393,8.198026714444376,7.5110334396679646,7.670761250453623,8.48587684801744,8.40150092114361,7.681479804766622,8.434028802083988
14500,7.966195686787557,7.3419226432021745,7.283319644618676,8.105936342512816,7.790524883023613,7.7146507864009966,8.96677640540508,7.085227711436206,8.183542482446866,8.11080040179968,7.972751834782063,7.893304805562968,9.026996639049322,7.235634726429492,8.23367248702329,8.16004049234754,7.714555555024102,8.90443347341175,8.805448714910549,7.994801740449705,7.427451833232738,7.3584537618444745,8.329750294432436,6.783646373845259,7.649629301952083,7.586032430942405,7.226321194791764,8.229634734823215,8.1450128149769,7.446585041065338,7.549543155232802,8.433251367277448,8.344412835959847,7.612905328913842,8.28213248647276
14600,7.824649470977728,7.225338735433102,7.1689606634297744,7.935771856995257,7.844252640837569,7.767855274583072,8.761380924381776,7.134091350825421,8.016814651800027,7.947467850610646,8.027736330194353,7.947741390428919,8.869572929915064,7.285535655577282,8.107304156001947,8.036389944511644,7.767759386438061,8.96584335943528,8.866175947427173,8.049938304176944,7.478675638979171,7.409201718822712,8.199360075273441,6.830430141940743,7.543679744774192,7.482245432228148,7.276157892686879,8.286390836442685,8.201185317149154,7.497940799969237,7.601608970096477,8.491411721534533,8.401960510690605,7.665408124285662,8.339250641551882
14700,7.878242960504973,7.274827356908671,7.218063133727239,7.9901264587554985,7.703357229032738,7.630163296679734,8.821390382767952,7.021616240682019,8.07172434119592,8.001902561916198,7.934054810402901,7.856433345188977,8.930323429435031,7.21278091346174,8.162833636522508,8.091433711254874,7.82096321785202,8.811521967764355,8.715885472365468,7.930742730872034,7.405735591484084,7.338063302586541,8.255520075789011,6.77349377539275,7.595348784121961,7.533493688613272,7.3259945905819945,8.164645611115478,8.082470054808265,7.402849840575836,7.653674784960151,8.424265026210081,8.336808333873579,7.615650894684814,8.396368796631005
14800,7.931836450032217,7.32431597838424,7.2671656040247035,8.04448106051574,7.75576101970643,7.682069169446262,8.881399841154128,7.069382337557407,8.12663403059181,8.05633727322175,7.988027972378431,7.909878469986181,8.991073928954997,7.261847450288011,8.21836311704307,8.146477477998104,7.737226868813956,8.871464294075675,8.775177210272716,7.984693361694293,7.456114745167649,7.3879821005633195,8.311680076304583,6.819571964341001,7.647017823469729,7.584741944998397,7.270946132135339,8.220187417993817,8.137452844296757,7.453209363300842,7.661716921711508,8.481572951558448,8.393521315736665,7.6674580436282485,8.357065417878815
14900,7.780994252964871,7.199143666632833,7.144290419858507,8.098835662275981,7.808164810380123,7.733975042212791,8.664454913954364,7.117148434432795,7.949049852942703,7.882226764623326,8.042001134353962,7.963323594783384,8.822832333676113,7.310913987114281,8.082152362838693,8.013082428799834,7.604775669856828,8.931406620386998,8.834468948179964,8.038643992516551,7.506493898851214,7.437900898540099,8.173017209500532,6.86565015328925,7.5334694441746395,7.473424412938544,7.156705320935945,8.275729224872153,8.192435633785248,7.503568886025848,7.532301659808193,8.538880876906816,8.450234297599751,7.719265192571682,8.198427578568285
15000,7.80216023343568,7.200447697876637,7.142020270512335,7.918998780708421,7.763396698116228,7.685055575632071,8.684115008951089,7.056861710278784,7.945121220270874,7.8740433324346615,7.9929332468053245,7.9099158619022,8.84213858445353,7.246010894397314,8.077189895429276,8.00374029004708,7.655814432741773,8.864434559323097,8.76244230094539,7.955018686421911,7.467021722896175,7.394519987687635,8.1936129499178,6.811123495467911,7.532564910271391,7.468647228529005,7.204736900271086,8.222193841761083,8.134371960185838,7.433922023415421,7.582854019941134,8.480112773804716,8.386726061895466,7.644125399541259,8.253450582451293
15100,7.854174634991919,7.248450682529148,7.189633738982417,7.971792105913144,7.612655439466669,7.537806360499918,8.742009109010763,6.936195477427062,7.9980886950726795,7.926536954650893,7.890623812521172,7.810237723028054,8.901086175016554,7.16621189901936,8.131037828065471,8.057098558647393,7.562314637312538,8.698604742667351,8.601014902199385,7.826440125333525,7.388447601287376,7.317922082535275,8.248237036250584,6.749575052042024,7.582782009673201,7.518438210052532,7.1445925683852645,8.092271159225998,8.007745994395032,7.332144377472306,7.5894434671015025,8.407092471001642,8.315899707264002,7.58965853966806,8.20845039746656
15200,7.906189036548157,7.296453667181659,7.2372472074525,8.024585431117867,7.663070376151878,7.587725607920447,8.799903209070436,6.9821305468139965,8.051056169874485,7.979030576867124,7.942879599359061,7.861961151657379,8.960033765579578,7.213670255966508,8.184885760701667,8.110456827247708,-,8.756211396592299,8.65797526579011,7.878270854640369,7.437377717852193,7.366385142684515,8.30286112258337,6.794274224572104,7.632999109075009,7.568229191576059,-,8.145862358955972,8.060777424821488,7.380701625005235,-,8.462768580081123,8.370971890755817,7.6399211790036095,-
15300,7.745731797449555,7.163120087449617,7.106419302061137,8.07737875632259,7.713485312837088,7.637644855340977,8.571480426053922,7.02806561620093,7.863701870654686,7.795420442273742,7.995135386196949,7.913684580286703,8.780747816529159,7.261128612913656,8.039481811427137,7.9681274794824,-,8.813818050517249,8.714935629380834,7.930101583947214,7.48630783441701,7.414848202833755,8.155775544590089,6.838973397102183,7.512408265951328,7.4500670345943085,-,8.199453558685944,8.113808855247946,7.429258872538165,-,8.518444689160605,8.426044074247631,7.69018381833916,-
15400,7.796357495472101,7.209937865798961,7.152866487041929,7.887688324583107,7.549201277030497,7.477009048573141,8.627503173936628,6.895323638318759,7.915098614907331,7.84637090268076,7.8810939922394585,7.80244758209401,8.838138325133924,7.171161823078102,8.092027444181564,8.02020674405418,-,8.631540697522018,8.537293150864837,7.787212708485889,7.400170821679204,7.33078768595375,8.20908126710375,6.770778848895708,7.561508973571925,7.498760283186428,-,8.058001485468969,7.975803096843091,7.317337456788368,-,8.437263332143056,8.347188520405698,7.628735478079421,-
15500,7.815063458586569,7.208229347616335,7.147384669350846,7.938907079937543,7.504538493213235,7.4281730865330955,8.6444546319404,6.835107109374578,7.908050970610805,7.834878357557478,7.8302231972714305,7.747122393697005,8.854530955911548,7.10423703986179,8.08349664765408,8.0070569385404,-,8.565333421696238,8.46599597442863,7.704131990793204,7.358180737198082,7.284750354965651,8.227005885222605,6.713484417537526,7.55725292015638,7.490400696996419,-,8.003677518824974,7.916874662598615,7.246725822149887,-,8.375199016397977,8.28019837403243,7.549965501249674,-
15600,7.865483222835515,7.254734053084827,7.193496828507948,7.990125835291979,7.552954870588804,7.476096783865567,8.700225306985176,6.87920457459635,7.959070654292166,7.8854259598643,7.880740766286085,7.797103828495049,8.911656962078718,7.150070827215737,8.135648238929267,8.058715370401952,-,8.620593637320084,8.52061530329591,7.75383606815316,7.405652870986457,7.331748744352526,8.280083342546622,6.756797220231316,7.606009390609001,7.538725862783493,-,8.055314147978683,7.967951273325058,7.293478891970209,-,8.429232558439255,8.333619008703607,7.598674956096446,-
15700,7.695077157417428,7.112967593727696,7.054462503747483,8.041344590646414,7.601371247964374,7.524020481198039,8.46013195644939,6.923302039818121,7.76177256841757,7.692159927460337,7.931258335300739,7.847085263293095,8.720881162620712,7.1959046145696846,7.9806933688619415,7.907117112256581,-,8.67585385294393,8.575234632163193,7.803540145513117,7.453125004774831,7.3787471337394015,8.124392800981648,6.800110022925106,7.478245469808659,7.413604476573006,-,8.106950777132392,8.0190278840515,7.340231961790531,-,8.483266100480533,8.387039643374784,7.647384410943218,-
15800,7.74409038771945,7.158273119802395,7.099395385936957,7.8415962844430025,7.426110224199466,7.35273062718903,8.514018147254799,6.781362636307885,7.811210610254624,7.741154576679829,7.807051587680631,7.725991595741982,8.776428176395365,7.097619053650063,8.031525810701826,7.957480915519362,-,8.480552924868299,8.384989443059315,7.64994883510001,7.360888988874206,7.288786415031713,8.176140525828664,6.726933497295514,7.525877606559033,7.460824887251816,-,7.956673264622811,7.872493230780969,7.221068774354295,-,8.395600981243271,8.301931906085997,7.580754849942345,-
15900,7.793103618021472,7.203578645877093,7.144328268126431,7.891226640673655,7.378747156745039,7.301022887975534,8.56790433806021,6.718156921660791,7.860648652091679,7.790149225899322,7.752237477607979,7.666491445997849,8.83197519017002,7.026369814825477,8.082358252541711,8.007844718782142,-,8.411383621408953,8.310531153876989,7.56358183462002,7.314753102591893,7.238364175999214,8.227888250675681,6.66506701181666,7.5735097433094065,7.508045297930624,-,7.898800399549723,7.8098001212755985,7.146558578816478,-,8.328325433586798,8.229443160085102,7.49635617887732,-
16000,7.809380536324166,7.198877644004305,7.135642263455969,7.940856996904307,7.425154371567335,7.346941270918776,8.582237671682675,6.760409480916518,7.850578923816303,7.775435893613737,7.8009936881589725,7.714708373331169,8.845499603633,7.070560819950166,8.070292097391796,7.990905439187591,-,8.4642854051914,8.362798645410805,7.611151531693102,7.360757839086181,7.28388847899292,8.243153484383335,6.706985672268337,7.565886999229469,7.4960708631789155,-,7.948478389483998,7.858918361032049,7.19150548811721,-,8.380704838829482,8.281200664236582,7.5435030730840955,-
16100,7.628641004686426,7.048363263870877,6.98810672394163,7.9904873531349585,7.239832753798696,7.165912813408088,8.33025231212749,6.610032602659297,7.643136088576519,7.572332115583856,7.6669314646573925,7.584082670104208,8.642721813575218,6.964238152272244,7.905372426394462,7.8296505968989365,-,8.256878392113652,8.160868971752825,7.447591743916176,7.263144277659095,7.18874998729702,8.078652914483461,6.6294593087573075,7.430801975854365,7.363860142643982,-,7.790450267810093,7.704925372643097,7.066002662098273,-,8.287213242787162,8.19050120219905,7.472262669935232,-
16200,7.676023868069572,7.0921419176837395,7.031511113531329,7.780450144941809,-,-,8.381993009718343,-,7.690608983536621,7.61936523431419,-,-,8.69640331552289,-,7.954474118483868,7.878281967066011,-,-,-,-,-,-,8.128830882896402,-,7.476956025393833,7.409598404399535,-,-,-,-,-,-,-,-,-
16300,7.723406731452718,7.1359205714966025,7.074915503121029,7.828477614972313,-,-,8.433733707309196,-,7.7380818784967245,7.666398353044525,-,-,8.750084817470562,-,8.003575810573276,7.926913337233085,-,-,-,-,-,-,8.179008851309343,-,7.523110074933301,7.4553366661550875,-,-,-,-,-,-,-,-,-
16400,7.531523093564422,6.974968768564893,6.917025888473997,7.876505085002819,-,-,8.168855376992912,-,7.518190980234182,7.450914794556255,-,-,8.534031637436383,-,7.826412656182763,7.75353391815841,-,-,-,-,-,-,8.00504768834588,-,7.379217222648362,7.314394527093804,-,-,-,-,-,-,-,-,-
16500,7.5459762054937585,6.968936909818302,6.906993656887303,7.924532555033323,-,-,8.18165606642339,-,7.50764308390923,7.435802495262934,-,-,8.5456842829199,-,7.813044393362359,7.735270433413274,-,-,-,-,-,-,8.018315736698728,-,7.369879927215195,7.300639500678788,-,-,-,-,-,-,-,-,-
16600,7.591709394617963,7.011172891089928,6.948854224504801,7.7039443714750995,-,-,8.23124186076535,-,7.5531439510844365,7.4808679649311935,-,-,8.597476308876992,-,7.860396177564556,7.782150860282445,-,-,-,-,-,-,8.066911589648416,-,7.414545866168015,7.344885800682901,-,-,-,-,-,-,-,-,-
16700,7.637442583742168,7.053408872361554,6.9907147921223,7.75035367491772,-,-,8.28082765510731,-,7.598644818259644,7.5259334345994535,-,-,8.649268334834082,-,7.907747961766751,7.829031287151617,-,-,-,-,-,-,8.115507442598107,-,7.459211805120835,7.389132100687015,-,-,-,-,-,-,-,-,-
16800,7.43414512621922,6.882716857673927,6.823359950070838,7.796762978360341,-,-,8.003363100199993,-,7.367867679229671,7.2998892430600915,-,-,8.419782436072618,-,7.719330126786371,7.644744410392668,-,-,-,-,-,-,7.932125827900972,-,7.307451545667557,7.240578318673911,-,-,-,-,-,-,-,-,-
16900,7.478395990065763,6.923685410398177,6.863975187868879,7.843172281802962,-,-,8.05100216627261,-,7.411724034463181,7.343340964744973,-,-,8.469900188668289,-,7.765278520398194,7.69024884140691,-,-,-,-,-,-,7.979340862590859,-,7.350948281058435,7.283676999142209,-,-,-,-,-,-,-,-,-
17000,7.490627927553194,6.914936859836645,6.851010297869732,7.611734618386591,-,-,8.061543426554524,-,7.398635970009492,7.325500597679575,-,-,8.478969050631534,-,7.748742951519611,7.66855971774617,-,-,-,-,-,-,7.990114075526551,-,7.338427142068286,7.266471464306094,-,-,-,-,-,-,-,-,-
17100,7.534690444774095,6.955612959012155,6.891310358445437,7.656509527906512,-,-,8.10896427024014,-,7.442157358068371,7.368591777665926,-,-,8.528845339164661,-,7.794323792410903,7.713668892556441,-,-,-,-,-,-,8.03711474655906,-,7.381594360551041,7.30921541409613,-,-,-,-,-,-,-,-,-
17200,7.319359873939015,6.774652046300721,6.713988669456765,7.701284437426433,-,-,7.818557656164565,-,7.200154129636885,7.131669675883439,-,-,8.28511013806597,-,7.5939633353997165,7.517822168569315,-,-,-,-,-,-,7.8440071713451704,-,7.221731475228846,7.152837903208549,-,-,-,-,-,-,-,-,-
17300,-,-,-,7.746059346946355,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17400,-,-,-,7.503430518774934,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17500,-,-,-,7.546553682675939,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17600,-,-,-,7.589676846576944,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17700,-,-,-,7.6328000104779505,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17800,-,-,-,7.378586588513046,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17900,-,-,-,7.420039322156377,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18000,-,-,-,7.461492055799709,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18100,-,-,-,7.50294478944304,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18200,-,-,-,7.236690579185452,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
