kW,CH01+CH02+CH03+CH04,CH01+CH02+CH03+CH05,CH01+CH02+CH03+CH06,CH01+CH02+CH03+CH07,CH01+CH02+CH04+CH05,CH01+CH02+CH04+CH06,CH01+CH02+CH04+CH07,CH01+CH02+CH05+CH06,CH01+CH02+CH05+CH07,CH01+CH02+CH06+CH07,CH01+CH03+CH04+CH05,CH01+CH03+CH04+CH06,CH01+CH03+CH04+CH07,CH01+CH03+CH05+CH06,CH01+CH03+CH05+CH07,CH01+CH03+CH06+CH07,CH01+CH04+CH05+CH06,CH01+CH04+CH05+CH07,CH01+CH04+CH06+CH07,CH01+CH05+CH06+CH07,CH02+CH03+CH04+CH05,CH02+CH03+CH04+CH06,CH02+CH03+CH04+CH07,CH02+CH03+CH05+CH06,CH02+CH03+CH05+CH07,CH02+CH03+CH06+CH07,CH02+CH04+CH05+CH06,CH02+CH04+CH05+CH07,CH02+CH04+CH06+CH07,CH02+CH05+CH06+CH07,CH03+CH04+CH05+CH06,CH03+CH04+CH05+CH07,CH03+CH04+CH06+CH07,CH03+CH05+CH06+CH07,CH04+CH05+CH06+CH07
9100,6.801141191441364,6.291075662388879,6.257682809186498,6.812552310206806,7.290314771967431,7.242457385922506,8.128962499817444,6.651086438049737,7.410804878378953,7.364510915081794,6.987834236143889,6.943853762166987,7.720141799042031,6.398405258790955,7.069511947844236,7.027371666560782,7.513129940061268,8.397215905758845,8.333785950281124,7.560283219232454,6.387967286145748,6.351193800805962,7.007164096483271,5.891800318487955,6.466955563576117,6.431674714978804,6.811643232182986,7.545714540583239,7.494457055717766,6.863010919757673,6.577114982240382,7.222139650190481,7.175170268992991,6.594296055580102,7.808377158417181
9200,6.875879006731929,6.36020836197557,6.326448554342394,6.88741552240688,7.37042812110993,7.322044829723852,8.218291758057196,6.724175300006328,7.492242294624876,7.445439606456318,7.064623623354262,7.020159847465526,7.804978522108427,6.468717404491954,7.147198892326041,7.104595531028483,7.595691807534469,8.489493003624327,8.425366015668828,7.643363254608634,6.458164728850646,6.420987139276358,7.084165899741329,5.956545376932878,6.538021009329701,6.50235245909945,6.886496454514667,7.628634480589648,7.5768137266597195,6.938428622172592,6.649390971056211,7.301503822170596,7.25401829392698,6.666760847399664,7.894183500817369
9300,6.845006657036505,6.338874698542487,6.305699087775733,6.962278734606955,7.450541470252429,7.401632273525199,8.157553374428963,6.797264161962918,7.448757056769756,7.402988794888096,7.141413010564634,7.0964659327640645,7.770483424468733,6.539029550192954,7.124692575380807,7.082808862908248,7.540703381549529,8.58177010148981,8.516946081056533,7.7264432899848146,6.528362171555544,6.490780477746753,7.056497687838689,6.0212904353778,6.51983257284057,6.484741019120435,6.848096465380637,7.711554420596057,7.659170397601673,7.013846324587512,6.616019041548554,7.380867994150711,7.332866318860969,6.739225639219225,7.831520886684521
9400,6.918608879155177,6.407034641537567,6.373502303773321,6.908310726498317,7.430269040202405,7.382138910026215,8.245269002110994,6.786701717326325,7.528851218670506,7.482590824940657,7.142398115580551,7.097913988751557,7.854037009678074,6.545730007456366,7.201302172965546,7.1589680979932835,7.621786213609201,8.563724512457604,8.499853410678437,7.719982477479747,6.529636786261244,6.492438140579708,7.1323740070627615,6.027356015334696,6.589938299430253,6.554469417175493,6.921731911244945,7.697607225735038,7.645963419018309,7.009041989655808,6.687159031242624,7.389078751200314,7.341479059098666,6.752321243141866,7.9157307886918815
9500,6.992211101273849,6.475194584532648,6.44130551977091,6.98180339380149,7.435474798545855,7.384586573666385,8.332984629793026,6.778183917918374,7.608945380571256,7.562192854993217,7.150126119745115,7.103056425590182,7.937590594887415,6.540247462539277,7.277911770550286,7.235127333078318,7.647948544952416,8.556889110886871,8.489562981404724,7.6978358299113925,6.542008834061407,6.50258313081237,7.208250326286834,6.0277280158873845,6.6600440260199365,6.624197815230552,6.943776065507178,7.700276002812771,7.645711948394591,6.997547308380224,6.727651474394805,7.3946587371009835,7.344325776274753,6.744248658315747,7.954351984111553
9600,7.04308368937261,6.509545943676146,6.473341148385936,7.055296061104664,7.513742954320023,7.462319063915506,8.388437852780717,6.849533222317515,7.642397501220677,7.592543067078012,7.225390605216117,7.177825440596394,7.9918654711597,6.60909217267127,7.3118381832851655,7.266190341787179,7.728453266478231,8.646961627843575,8.578926802261616,7.778865680752565,6.610872084946264,6.571031374294606,7.2599731529766105,6.091177784475673,6.6943886024253505,6.656104545064037,7.0168684451440955,7.781331539684484,7.726193126798744,7.071205701100016,6.798468858335803,7.4724972501231,7.421634468656594,6.815240749455913,8.038082004996937
9700,7.004811510490908,6.4818758430583925,6.446345395126014,7.128788728407837,7.592011110094189,7.540051554164625,8.317672101724575,6.920882526716655,7.590521277942158,7.541842968082591,7.300655090687118,7.2525944556026065,7.949363088524422,6.6779368828032615,7.282602329371977,7.237781645790656,7.665925518030368,8.73703414480028,8.668290623118507,7.859895531593738,6.67973533583112,6.639479617776842,7.225252833252972,6.154627553063961,6.67018975395663,6.632570819677224,6.971855582568994,7.862387076556198,7.806674305202899,7.144864093819808,6.75836110792402,7.550335763145215,7.498943161038433,6.886232840596079,7.967202675399392
9800,7.077026062145454,6.548699305357964,6.512802564147932,7.066215979423441,7.564484234784211,7.513422324051819,8.40342129864957,6.904207161220602,7.668774074621974,7.6195939265164325,7.296197586087162,7.248682056232516,8.031315285313335,6.680018006744238,7.357680703901584,7.312397951417363,7.687602057107534,8.711149542585806,8.64350306326807,7.84695823784178,6.676202748576584,6.636397362703327,7.299739975863827,6.15656458561865,6.738954596780926,6.700947838436783,6.990140442267373,7.841694090726822,7.786834723734621,7.134399402476183,6.796708705236754,7.553757992745767,7.502840300904867,6.895270602112165,8.00214069340868
9900,7.1492406138,6.615522767657534,6.57925973316985,7.138320224111435,7.564823038744028,7.510918167637097,8.489170495574566,6.890781412845477,7.747026871301791,7.697344884950273,7.299127798794075,7.248930412253177,8.113267482102247,6.669632695860785,7.432759078431193,7.387014257044071,7.76604697605761,8.698279656815716,8.627087235409627,7.818859808066406,6.684395597947129,6.6422730071858345,7.374227118474682,6.152605006058786,6.80771943960522,6.7693248571963425,7.061468405963979,7.839156274079079,7.7812858188642435,7.117672159353574,6.866062875698353,7.554204040010396,7.500449861195196,6.881969355943024,8.083795190280197
10000,7.104172401727535,6.581799123440867,6.546260870904082,7.210424468799429,7.641235392670736,7.58678602791626,8.409069863398054,6.9603852655004825,7.68692634522771,7.638495872787673,7.372856362418257,7.322151931568866,8.063337632228402,6.7370027230917024,7.397001464294206,7.352144705617256,7.844491895007687,8.786141067490624,8.714229530716796,7.897838189966067,6.75191474540114,6.709366673925086,7.333062737366389,6.214752531372511,6.777801823006666,6.740121490321151,7.132796369660585,7.918339670786947,7.859884665519438,7.189567837730883,6.935417046159953,7.630509131323633,7.576211981005248,6.951484197922246,8.165449687151716
10100,7.151869759258037,6.61293333942574,6.575030082441458,7.282528713487424,7.607510099318561,7.554069228374062,8.460472319395466,6.93848770926582,7.716528149315925,7.664967673874652,7.363735776171889,7.313653666278991,8.113910655990228,6.735131186374476,7.42719226433486,7.379413910987382,7.8607965797060375,8.753542959213812,8.682862910379274,7.87934955264831,6.744326899501618,6.702291810203554,7.381523101205477,6.213212460264427,6.808805290464783,6.768630247832209,7.146608206488949,7.891938075687038,7.834441531556898,7.174313488385513,6.97173060399724,7.629908552530176,7.576153642967693,6.957115020215144,8.1963271669281
10200,7.222680350933859,6.678407926944806,6.640129390188403,7.211331306739751,7.682831981490032,7.628861993011428,8.544239372062748,7.007185607377362,7.792929418121033,7.740858442922916,7.4366440511834915,7.386066078816406,8.194246405059438,6.801815653566303,7.500728821407481,7.452477415056564,7.791009989324226,8.840211701384247,8.768831850085999,7.957362914555718,6.8111024133580695,6.768651135057055,7.4546074883461255,6.274729415316551,6.876219204231761,6.835646388899855,7.0951486536305985,7.970076076436414,7.912010259592115,7.2453462952012115,6.924399547005411,7.705452201565128,7.651165065175294,7.0259973471479675,8.11711927446453
10300,7.293490942609682,6.743882514463873,6.705228697935349,7.282030633276415,7.758153863661502,7.7036547576487955,8.62800642473003,7.075883505488905,7.8693306869261415,7.81674921197118,7.509552326195094,7.458478491353822,8.274582154128648,6.868500120758129,7.574265378480104,7.5255409191257465,7.867392440199954,8.92688044355468,8.854800789792725,8.035376276463127,6.877877927214521,6.835010459910555,7.527691875486774,6.3362463703686736,6.94363311799874,6.9026625299675,7.164708934548545,8.048214077185792,7.989578987627332,7.316379102016909,6.992285817074091,7.78099585060008,7.726176487382895,7.094879674080791,8.196698875194574
10400,7.240903533598576,6.7037225628433665,6.665891638103622,7.35272995981308,7.752879186237713,7.6954199555420875,8.537785234582765,7.056710387005038,7.800741997062593,7.749563698681195,7.506921636412169,7.453037656771564,8.216459269132919,6.852358967355041,7.531625381220199,7.48390655614359,7.943774891075682,8.907005785803802,8.831249555225824,8.000260872399162,6.881234943626241,6.835931775786995,7.479394190377605,6.327211687169132,6.907641717168858,6.867481139187798,7.234269215466493,8.039649554629039,7.977877937467981,7.293505507387074,7.060172087142772,7.775470103462641,7.717676775010223,7.075421464644617,8.276278475924618
10500,7.310527606037025,6.7681814336399375,6.7299867500084645,7.4234292863497435,7.711834678046415,7.655517514778912,8.61987932337683,7.0286717984121205,7.875749131649734,7.824078734245437,7.492275596827414,7.439108476128926,8.295463685182273,6.845828425270224,7.604044856039625,7.555867196106509,7.954686195496586,8.866436172982937,8.792074533061559,7.97521632648182,6.868858634864705,6.824144861470336,7.551311442208159,6.321585789742051,6.974061349064712,6.933514611679988,7.243641206870874,8.006489496935417,7.945803503619917,7.272608514862537,7.094063385637387,7.7700891604798805,7.712921108046094,7.077029976992403,8.3028175746075
10600,7.355487569362135,6.796083680389244,6.755404181556645,7.343577953981733,7.7852807225992375,7.728427205395854,8.667703697521041,7.095611529825569,7.9012994938620515,7.8463665775425175,7.563630602511485,7.509957128282534,8.342724673331283,6.911026791225179,7.630351204179621,7.579108951254939,7.877632323368724,8.950878422249442,8.875808576233574,8.05117076768641,6.934276336149131,6.889136717293863,7.596916021933558,6.381791368691975,7.001672830145999,6.958502720412558,7.185697528248849,8.082741777858612,8.021477822702012,7.341871453099323,7.039839502208248,7.844090009627308,7.786377499551295,7.144430262487568,8.21554959110193
10700,7.424878961525929,6.860197677374048,6.819134409684538,7.412856991283448,7.858726767152061,7.801336896012796,8.749474487120297,7.162551261239018,7.975840055124901,7.920388903745749,7.634985608195556,7.580805780436143,8.42142962307969,6.976225157180133,7.70233564950207,7.650609979096966,7.95194960943824,9.035320671515946,8.959542619405589,8.127125208890998,6.999694037433557,6.954128573117391,7.668585041008404,6.4419969476419,7.0677263474115275,7.024148972491922,7.253487127571952,8.158994058781806,8.097152141784106,7.411134391336109,7.10625308241776,7.918090858774736,7.859833891056496,7.211830547982735,8.293054775923645
10800,7.36471942256428,6.813571199074698,6.773435443609786,7.482136028585162,7.809652254502981,7.753495335136537,8.649112158918802,7.1275767866071265,7.8987557111167925,7.84486772481168,7.6144602350539,7.561065776309517,8.355032807667405,6.9646353556377685,7.652763246754702,7.602168732582006,7.9579974494101355,8.985731339217828,8.911467617127597,8.09447811950929,6.982360973928793,6.937437284459893,7.613125914655092,6.432047240157783,7.0256539139718255,6.982988523140062,7.258986613320882,8.118431216960362,8.057763079990133,7.383890011913076,7.138095290252061,7.907707248528153,7.8501365046722364,7.209162508123757,8.315732840301916
10900,7.432911269069504,6.876659821288352,6.836152438458026,7.551415065886877,7.8002356516851155,7.741067191819299,8.729196530760643,7.104282506959109,7.971892338071577,7.917505388930307,7.60725048233805,7.550963007793716,8.432394222553215,6.943843977452869,7.723622165706135,7.672559183809617,8.031682610978748,8.960904199394337,8.882905282844881,8.054461417543045,6.981610556260249,6.934171948921996,7.68361782127227,6.418800852976423,7.09070626502712,7.047645824280248,7.326199452333113,8.10531935079144,8.041450919275416,7.356474387345277,7.204188765161803,7.897144290270868,7.836502217328978,7.184580807337357,8.392730366601008
11000,7.501103115574729,6.939748443502007,6.898869433306264,7.462871358780511,7.871797446654703,7.812086156881862,8.809280902602483,7.169459410692679,8.045028965026363,7.990143053048934,7.67704177116684,7.620237897773475,8.509755637439024,7.007548968071703,7.794481084657567,7.742949635037228,7.9474306094255125,9.043114329664009,8.964399826724192,8.128355558988394,7.045662029253462,6.997788205334125,7.754109727889446,6.47768893419639,7.155758616082415,7.112303125420433,7.261776893639447,8.179680078780352,8.115225698351336,7.423964978054867,7.142957096233946,7.969595155319225,7.90839673308429,7.250494392725774,8.297423022706147
11100,7.54331489080378,6.964387216126932,6.920894158204206,7.530715643860334,7.943359241624291,7.883105121944424,8.853554715527032,7.234636314426249,8.06653788962828,8.008247162527308,7.746833059995629,7.689512787753234,8.553695712898875,7.071253958690536,7.816868330401097,7.7621178599311635,7.948518846876517,9.125324459933683,9.045894370603502,8.202249700433743,7.1097135022466755,7.061404461746253,7.7968426434551965,6.536577015416357,7.17993723098782,7.133719195284908,7.2633993579852465,8.254040806769265,8.189000477427259,7.491455568764457,7.172797389072356,8.04204602036758,7.980291248839602,7.31640797811419,8.31621192935379
11200,7.475520965379713,6.911256627747126,6.868802703210916,7.598559928940157,7.886689198055129,7.827814938821167,8.743024175889218,7.1932907411402525,7.9809449639671906,7.924386223116293,7.7205285251362765,7.664100041913153,8.478932871061598,7.054806859918992,7.760304923580982,7.706819705922979,8.020127124776305,9.067372170943045,8.989637670977384,8.162728922450253,7.087493045548056,7.039910250631412,7.734188048948571,6.522471071940385,7.131772301556903,7.0865748829235935,7.3288353882373665,8.206519517776918,8.142792651552641,7.458409044114589,7.237417185370305,8.026762479958942,7.96578643517566,7.309634595508564,8.391132757546165
11300,7.542266688284888,6.972964276209154,6.930131298775299,7.6664042140199795,7.872677391641707,7.810684270628696,8.821086891745372,7.165293500176983,8.05220340114547,7.995139671536974,7.708535144290944,7.649090379569284,8.554637628838934,7.02906819038133,7.829593360398669,7.775630596154435,8.091735402676093,9.036908044551385,8.955318806452313,8.117057610252171,7.082516318508085,7.0323032068816715,7.803243299385612,6.504793130022957,7.195448839963661,7.149847872949697,7.3942714184894855,8.18841610687011,8.121371898746235,7.425902062211009,7.3020369816682535,8.010992144875914,7.9468104585263495,7.279688361839529,8.466053585738543
11400,7.609012411190064,7.034671924671182,6.991459894339682,7.569120485831393,7.942347103072164,7.879805370368772,8.899149607601526,7.2287031771697,8.123461838323747,8.065893119957655,7.77675226946166,7.716781444875206,8.63034238661627,7.091272333659041,7.898881797216356,7.84444148638589,8.000362523672012,9.116880682113786,9.03456941535897,8.188889978484491,7.145193454070103,7.094535978623988,7.872298549822653,6.562357670996612,7.259125378370419,7.2131208629758,7.323377008640013,8.26087996622294,8.19324244652275,7.4916180096642035,7.233675919472172,8.081885880671276,8.017136214796494,7.344110382740764,8.362730314831092
11500,7.533982756930237,6.97503011756532,6.932912695308808,7.6355162795667555,7.879163629085164,7.818140265242563,8.778836299766768,7.181897379155212,8.029100660972501,7.973342647169297,7.7454458209584,7.686468392497656,8.54752622659133,7.070631978181615,7.8351760995897495,7.782070066343007,7.995732343535633,9.051712548332151,8.971267902116033,8.143436621135935,7.118851590328912,7.068999832470628,7.802856279281625,6.5447578017982,7.20487910351057,7.159949085127135,7.320532236692402,8.20746496948844,8.141271696946703,7.453661656045738,7.261250805332951,8.06247428856666,7.998589958819933,7.333886548006728,8.37708587854241
11600,7.573200935002453,6.996684332686433,6.9518979607371465,7.701912073302119,7.947678095425035,7.886124093635976,8.819492358032612,7.244348660713083,8.047286470896395,7.9880971965511085,7.812797523749343,7.753307248084592,8.58802285244107,7.132115734513629,7.854132044710172,7.7977400876441285,8.065260450870726,9.130423092230693,9.049278927351825,8.214249113493638,7.18075464763612,7.130469396231242,7.842505663564672,6.601668739205141,7.225927030196493,7.178167792009384,7.384189038750597,8.278834230092686,8.212065363876675,7.5184761052287445,7.324392116683672,8.132582760641153,8.068142914983584,7.397659474511134,8.449930103573212
11700,7.638487149959372,7.0570005769337305,7.011828115571087,7.768307867037482,8.016192561764905,7.95410792202939,8.895522464567374,7.306799942270954,8.116659630128261,8.056960103417929,7.8801492265402855,7.8201461036715285,8.662057532203491,7.193599490845643,7.921840079578363,7.864961984951406,8.134788558205818,9.209133636129232,9.127289952587615,8.285061605851343,7.242657704943328,7.191938959991856,7.910113471009195,6.6585796766120815,7.288219504594738,7.24004854883705,7.4478458408087915,8.350203490696934,8.282859030806646,7.583290554411751,7.387533428034393,8.202691232715646,8.137695871147237,7.461432401015541,8.522774328604017
11800,7.703773364916289,7.117316821181027,7.071758270405028,7.662227086292779,7.996891970683004,7.931549083786848,8.971552571102139,7.273315645745337,8.186032789360127,8.125823010284748,7.862625564273083,7.799449781338303,8.736092211965914,7.162078445133708,7.9895481144465545,7.932183882258682,8.123106787894285,9.17213473246601,9.08627777237064,8.232745069285151,7.23280049199617,7.179306127742458,7.977721278453718,6.635729661765471,7.3505119789929845,7.301929305664718,7.43963943443468,8.326330354410558,8.255516705880996,7.544822497347284,7.4129983848220675,8.180874268144548,8.112502995965713,7.425193803096619,8.532047756500761
11900,7.620894758741774,7.050984092475471,7.00664152104598,7.7271612141427175,7.925967351379155,7.8623088373369745,8.840901679573916,7.220043548590667,8.082988263037851,8.024769129727787,7.825357242637606,7.76329827252846,8.64461105180752,7.13646247032504,7.918597369928417,7.862714077458,8.025890399972134,9.098372138800348,9.014587639230308,8.180258471740217,7.201555356212956,7.1489628986655145,7.9009356487948335,6.613990763013294,7.290049746882006,7.242659410027391,7.3631609233724475,8.265899402502006,8.196687211653757,7.501046845251345,7.337282363249022,8.156533757215904,8.089133468377165,7.410873856381996,8.421343356313983
12000,7.684935891168175,7.1102360596391305,7.065520861558971,7.792095341992656,7.992572119037804,7.9283786594994705,8.915194970998906,7.280716183452774,8.150912534155816,8.092204164431381,7.891116547197586,7.828536073137943,8.717254842158843,7.196432743184915,7.985140204969832,7.928787304999664,8.093334857114758,9.174829047529762,9.090340476534765,8.249000139569967,7.262072628113905,7.209038217141695,7.967330066011597,6.66957051732433,7.351310669124712,7.3035220941452685,7.425036225249527,8.33536074201883,8.265566936121436,7.564080852354297,7.398940198234308,8.22507605769671,8.157109379876132,7.473150107275963,8.492110947543512
12100,7.721456605087437,7.128667327557456,7.0811407423996835,7.857029469842595,8.059176886696452,7.994448481661966,8.952472271498232,7.34138881831488,8.16523701373478,8.10294438047932,7.956875851757566,7.893773873747426,8.754504857933329,7.256403016044789,8.000234467014126,7.940424785743248,8.076080140164157,9.251285956259178,9.166093313839221,8.317741807399717,7.322589900014854,7.269113535617876,8.004148207870912,6.725150271635366,7.368944312755825,7.318171306061383,7.412760716617238,8.404822081535654,8.334446660589114,7.62711485945725,7.422507351378862,8.293618358177516,8.2250852913751,7.535426358169929,8.497222546645434
12200,7.785270296038573,7.1875819335703275,7.139662566717036,7.74208486584706,8.035390956089472,7.96727858139393,9.026459645642845,7.303267947056721,8.23271831136895,8.16991086296262,7.9345122406620066,7.868092269006025,8.826856137750958,7.21983894640514,8.066352107237384,8.00604813107997,8.142824604132455,9.208828983724061,9.119481248262826,8.259889622582095,7.308408382985149,7.252019849687665,8.070298193059926,6.697732956362943,7.429844678976948,7.378652060656932,7.474023201878538,8.376019912447823,8.302037008617102,7.583571009856842,7.483850387340671,8.266465504564898,8.194396941558312,7.493654442872498,8.567447526369776
12300,7.694443435960631,7.114488920669242,7.06791526404719,7.8055445778622,7.956631738011198,7.890380963987849,8.885418025296199,7.243466385890059,8.120952588421009,8.06032575791143,7.891163954199794,7.825994463117478,8.72657177495867,7.189168561255058,7.988059105844785,7.9293931010225815,8.038922584373065,9.12633073137406,9.039275762343197,8.200271120362125,7.272244853451799,7.216861330223667,7.9861114505809585,6.671859722189841,7.363135641261107,7.313261070211334,7.391273862477052,8.308534753706017,8.236320750904818,7.533961711019657,7.400806271369671,8.237173907554759,8.166189750628385,7.4752390390252845,8.448969162515876
12400,7.756999886659497,7.172330294008017,7.125377989771151,7.86900428987734,8.021319800921857,7.954530402719457,8.957657196233566,7.302356356507052,8.18697659320492,8.125856861634288,7.955319758705484,7.889620434362336,8.797519512966465,7.24761708614331,8.053002675811003,7.993859711600001,8.10427967855496,9.200528542198239,9.112765809191515,8.266939991259378,7.331368795349781,7.275534999575079,8.051039185951536,6.726102484158864,7.422998532653474,7.372718477286223,7.451365519895566,8.376083816744277,8.303282708229247,7.595213432247459,7.460975428047473,8.304142801112114,8.232581537218861,7.536013340155572,8.517659968715192
12500,7.791048458595942,7.187854906145642,7.137959056621499,7.9324640018924795,8.086007863832517,8.018679841451066,8.99190182572962,7.361246327124044,8.197909742184816,8.133068899430775,8.019475563211174,7.953246405607193,8.83181628059852,7.3060656110315625,8.064637857622145,8.001880019824233,8.080562805471589,9.274726353022418,9.186255856039834,8.33360886215663,7.3904927372477625,7.334208668926491,8.085261065923072,6.7803452461278875,7.437544358345533,7.384134645495715,7.434380081490114,8.443632879782538,8.370244665553678,7.656465153475262,7.482387211543207,8.37111169466947,8.298973323809335,7.596787641285858,8.518008735970037
12600,7.853376846264709,7.2453577453948075,7.19506272907447,7.808578543155068,7.997798542574166,7.932444001680446,9.063837040335457,7.293206009184032,8.263493020122295,8.198133450626221,7.968965570512249,7.904079489793743,8.902470810843308,7.269221910177075,8.129154960483122,8.065895059982827,8.145207307915362,9.181291047692868,9.095267465693981,8.26469176916029,7.34871319629531,7.293499660701148,8.149943154450458,6.749562565810238,7.497044713212297,7.443207722659681,7.493855122142035,8.367599462374756,8.296088511468318,7.599471831099942,7.542246309235553,8.336043758689087,8.265068864303009,7.573434690133918,8.586152805857797
12700,7.7544888885049215,7.165424363255926,7.1166139279028195,7.870551388735664,7.971099434884144,7.902303163570328,8.912343260351955,7.252125466402575,8.142961215904355,8.079983026064266,7.942683020189089,7.874374280684261,8.793227664007752,7.228596485582742,8.043409001255675,7.981955474364144,8.034748752762438,9.135519242050487,9.045269136774847,8.203428364903763,7.330836134752608,7.272607494591158,8.058289762149979,6.7182860119940395,7.4240525864053675,7.371667922558011,7.404859247116325,8.335354648734082,8.260156809495417,7.552396586304712,7.45172990063515,8.304286866646375,8.229646032165157,7.52688228173419,8.459946442346139
12800,7.815547856130944,7.221845027533531,7.172650258043787,7.93252423431626,8.033863997363547,7.964526023125999,8.982519191535829,7.3092288165317285,8.207079020753996,8.143604939655322,8.00522383137168,7.936377227776263,8.862465677110174,7.285514568146386,8.10674293039942,8.044805517469374,8.005068136695186,9.207452464428837,9.116491728402996,8.268022289036864,7.388559253923889,7.329872120532821,8.121740862639347,6.77118590185226,7.482509693384937,7.429712551869491,7.383748737027789,8.400987362503642,8.325197414294593,7.611864275960655,7.471355798587754,8.36967495221052,8.29444639462315,7.586149071354145,8.456014371571408
12900,7.876606823756967,7.278265691811137,7.228686588184754,7.994497079896855,8.09662855984295,8.026748882681671,9.052695122719703,7.366332166660883,8.271196825603637,8.20722685324638,8.067764642554272,7.998380174868265,8.931703690212597,7.3424326507100295,8.170076859543165,8.107655560574603,8.067607731513117,9.279385686807188,9.187714320031144,8.332616213169963,7.446282373095169,7.387136746474483,8.185191963128718,6.8240857917104805,7.540966800364507,7.487757181180972,7.441434274035818,8.466620076273202,8.39023801909377,7.671331965616598,7.529725765764221,8.435063037774665,8.359246757081143,7.645415860974099,8.52207698384931
13000,7.907954584796601,7.290525248473922,7.237839488185924,7.8615827770705815,8.000135814690385,7.932425208571278,9.083646764269744,7.291379320445014,8.278329141486731,8.210465686573441,8.010702385047505,7.9428135555393915,8.962756696775068,7.30015554846476,8.177805493231114,8.111573568843486,8.130147326331048,9.176599270983568,9.087620722688026,8.25605564019197,7.399406314208725,7.341445853163721,8.21656294164911,6.789033958156848,7.55202767331288,7.495509228706972,7.499119811043848,8.383226821140944,8.308906353000925,7.608254409208977,7.588095732940689,8.394830327157925,8.320304892208535,7.617810522389809,8.588139596127212
