kW,CH01+CH02+CH03+CH04+CH05,CH01+CH02+CH03+CH04+CH06,CH01+CH02+CH03+CH04+CH07,CH01+CH02+CH03+CH05+CH06,CH01+CH02+CH03+CH05+CH07,CH01+CH02+CH03+CH06+CH07,CH01+CH02+CH04+CH05+CH06,CH01+CH02+CH04+CH05+CH07,CH01+CH02+CH04+CH06+CH07,CH01+CH02+CH05+CH06+CH07,CH01+CH03+CH04+CH05+CH06,CH01+CH03+CH04+CH05+CH07,CH01+CH03+CH04+CH06+CH07,CH01+CH03+CH05+CH06+CH07,CH01+CH04+CH05+CH06+CH07,CH02+CH03+CH04+CH05+CH06,CH02+CH03+CH04+CH05+CH07,CH02+CH03+CH04+CH06+CH07,CH02+CH03+CH05+CH06+CH07,CH02+CH04+CH05+CH06+CH07,CH03+CH04+CH05+CH06+CH07
8300,5.52032787851701,5.50081329764074,5.921174065717393,5.178689010224219,5.559750905423959,5.541643104770291,5.933309408730092,6.452953905256163,6.426304512727313,5.990958710006147,5.657169568752445,6.1223278229080025,6.0983342317994405,5.704930635444199,6.642039113705869,5.246413187383792,5.647189967279456,5.6267698140680285,5.290176091841907,6.082882474243755,5.792984825833558
8400,5.53196961478173,5.512605264151703,5.902844862665667,5.1927664085329805,5.537620216142498,5.518216355458532,5.957217826613488,6.457078224325405,6.430711188498136,5.999630053264432,5.6873572398702805,6.135055707160037,6.111248158194433,5.720632617254189,6.6711201152519575,5.274010240367762,5.660189848152489,5.63991908368043,5.305584248613791,6.1094702880159595,5.825967654447666
8500,5.597826395910083,5.578231517296366,5.973116825316449,5.254585056253611,5.60354426633467,5.583909407309228,6.028137086454125,6.533948203186421,6.507267274075494,6.071054220565199,5.75506387367826,6.2080920846262275,6.1840011124586525,5.7887353865072155,6.7505382118621,5.336796076562616,5.727573060630494,5.707060977533768,5.368745965859193,6.1822020771590065,5.895324412238709
8600,5.627799088890405,5.606555109034647,6.043388787967231,5.274309932691909,5.669468316526843,5.649602459159925,6.099056346294762,6.561980557590615,6.533116555559574,6.086356117026009,5.82277050748624,6.237024308568207,6.210942593111352,5.8057924785195185,6.829956308472242,5.39958191275747,5.757394977274078,5.735163260009863,5.387972545291926,6.254933866302054,5.964681170029753
8700,5.693238613179829,5.671747610302492,6.1136607506180125,5.335639117955768,5.735392366719016,5.7152955110106225,6.0963976986255215,6.638282657097482,6.609083027135848,6.157127699782125,5.823378123814166,6.309547847039931,6.283162855821949,5.873301693386024,6.817236615311871,5.404619771767646,5.824341430498196,5.8018512048936985,5.450623388841832,6.2503023099006105,5.963647965930408
8800,5.758678137469252,5.736940111570337,6.183932713268795,5.396968303219628,5.801316416911188,5.780988562861319,6.166471235391333,6.71458475660435,6.685049498712122,6.2278992825382415,5.890313504547662,6.3820713855116535,6.355383118532546,5.94081090825253,6.8955956568671795,5.466741838109803,5.891287883722313,5.8685391497775345,5.513274232391738,6.322144865186824,6.032195643699723
8900,5.7644220767085965,5.74288456606764,6.171291801408504,5.405831721726549,5.794210358525626,5.774159242464554,6.18499405107048,6.711144853107275,6.681969859444637,6.23001118539543,5.916402090751967,6.388821255845281,6.362375882275136,5.951287112235695,6.919343801040191,5.490411814693678,5.8986728029769795,5.876122375250046,5.5237283539524835,6.343711182554564,6.0614718505456
9000,5.829190864087344,5.807411358944805,6.225716975590464,5.4665714039931395,5.835656472775911,5.813828716613071,6.2544883662510475,6.786550975052299,6.757048172472104,6.30001131107403,5.982878518737945,6.460605764337925,6.433863251738901,6.018155506755197,6.997089237006935,5.552101835083494,5.964950025482339,5.942146222162968,5.5857927174800395,6.4149888362911325,6.129578275832629
9100,5.893959651466093,5.871938151821969,6.294891608652581,5.52731108625973,5.900497100251199,5.878426813464328,6.323982681431614,6.861957096997325,6.832126485499573,6.37001143675263,6.0493549467239225,6.532390272830568,6.505350621202667,6.085023901274699,7.074834672973679,5.613791855473311,6.031227247987698,6.00817006907589,5.647857081007595,6.486266490027701,6.197684701119658
9200,5.920027879716421,5.896304968161439,6.3640662417146965,5.542977672981363,5.965337727726487,5.943024910315584,6.393476996612182,6.884962660331146,6.852897006941731,6.380220502985802,6.1158313747099,6.5566695161673225,6.5275824472708,6.097308864678766,7.152580108940422,5.675481875863127,6.0569864125741075,6.032155457476746,5.66286917509497,6.557544143764269,6.265791126406688
